AGA    -116.4011   33.6384    0.8090
ALCY   -116.4686   33.5074    1.7560
ARB    -117.6054   34.0043    0.2217
ASBS   -116.4664   33.6208    1.4000
AZU    -117.9012   34.2198    1.1400
B081   -116.7142   33.7112    1.4670
B082   -116.5960   33.5982    1.3748
B082A  -116.5960   33.5982    1.3748
B084   -116.4564   33.6116    1.2710
B086   -116.5310   33.5575    1.3920
B086A  -116.5310   33.5575    1.3920
B087   -116.6027   33.4955    1.1390
B088   -116.6205   33.3749    1.4039
B088A  -116.6205   33.3749    1.4039
B093   -116.7641   33.5937    1.2296
B946   -116.5925   33.5373    1.4290
BAC    -117.0406   33.6122    0.5510
BALD   -116.7416   33.6811    1.5700
BAR    -116.6722   32.6801    0.5290
BB01   -116.7958   33.6687    1.1730
BB02   -116.7954   33.6690    1.1670
BB03   -116.7953   33.6691    1.1650
BB04   -116.7951   33.6693    1.1650
BB05   -116.7948   33.6695    1.1690
BB06   -116.7946   33.6697    1.1770
BB07   -116.7946   33.6700    1.1800
BBB    -115.7332   33.3526   -0.0960
BBR    -116.9207   34.2623    2.0690
BBS    -116.9806   33.9214    0.7850
BC3    -115.4537   33.6551    1.1370
BCC    -117.2612   33.5751    0.3910
BCCC   -116.8107   33.6469    0.8490
BEL    -115.9982   34.0006    1.3880
BFS    -117.6585   34.2388    1.3120
BLA    -116.3890   34.0695    1.2430
BLA2   -116.3899   34.0693    1.2470
BOM    -115.7296   33.3646   -0.0540
BOR    -116.4172   33.2682    0.2520
BPH01  -116.4555   33.6110    1.2920
BPH02  -116.4550   33.6106    1.2890
BPH03  -116.4555   33.6102    1.2850
BPH04  -116.4560   33.6106    1.2870
BPH05  -116.4552   33.6125    1.3020
BPH06  -116.4525   33.6105    1.2940
BPH07  -116.4553   33.6081    1.2750
BPH08  -116.4579   33.6106    1.3000
BPH09  -116.4599   33.6126    1.2950
BPH10  -116.4520   33.6125    1.3000
BPH11  -116.4519   33.6055    1.3000
BPH12  -116.4600   33.6056    1.2510
BPH13  -116.4600   33.6092    1.3000
BR2    -115.5494   32.9790   -0.0670
BRA    -115.5494   32.9790   -0.0670
BRE    -117.9812   33.8078    0.0240
BRNE1  -116.4673   33.5081    0.6680
BRNE2  -116.4672   33.5082    0.6680
BRNE3  -116.4671   33.5085    0.6680
BRNE4  -116.4670   33.5086    0.6680
BRNE5  -116.4667   33.5090    0.6680
BRNE6  -116.4662   33.5094    0.6680
BRS    -116.9126   33.9714    1.0750
BRST0  -116.4675   33.5079    0.6670
